codigoEstacao;nomeEstacao;nivelConsistencia;valorMeo;origem_valorMeo;Latitude;Longitude;codigoRio;nomeRio;codigoBacia;nomeBacia;siglaUF;codigoMunicipio;nomeMunicipio;siglaResponsavel;siglaOperadora;statusApi;dtCadastro;dtAtualizacao
66421050;BONITO;2;0.0;;-21,069;-56,377;66421010;RIO MIMOSO;6;RIO PARANÁ;MS;28014000;BONITO;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66475000;PIQUIRI;2;0.0;;-17,938;-54,596;66225500;RIO PIQUIRI;6;RIO PARANÁ;MS;28045000;PEDRO GOMES;ANA;ANA;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66476000;SONORA;2;0.0;;-17,915;-54,69;66225500;RIO PIQUIRI;6;RIO PARANÁ;MS;28053200;SONORA;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66476500;TUBULAÇÃO CÓRREGO CABECEIRA - BR-163;2;0.0;;-17,619;-54,744;66225540;RIO CORRENTES;6;RIO PARANÁ;MS;28053200;SONORA;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66480000;ESTRADA BR-163;2;0.0;;-17,889;-55,004;66225500;RIO PIQUIRI;6;RIO PARANÁ;MS;28023000;COXIM;ANA;ANA;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66481000;CORUMBÁ;2;0.0;;-17,646;-55,144;66225500;RIO PIQUIRI;6;RIO PARANÁ;MS;28022000;CORUMBÁ;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66481500;SONORA;2;0.0;;-17,653;-55,135;66225500;RIO PIQUIRI;6;RIO PARANÁ;MS;28053200;SONORA;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66481800;CORUMBÁ;2;0.0;;-17,37;-55,584;66225500;RIO PIQUIRI;6;RIO PARANÁ;MS;28022000;CORUMBÁ;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66483600;PCH SANTA GABRIELA MONTANTE 1;2;0.0;;-17,544;-54,414;66225540;RIO CORRENTES;6;RIO PARANÁ;MS;28053200;SONORA;SANTA GABRIELA;SANTA GABRIELA;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66483800;PCH SANTA GABRIELA MONTANTE 2;2;0.0;;-17,516;-54,418;66202100;CÓRREGO ESPINHAL COMPRIDO;6;RIO PARANÁ;MS;28053200;SONORA;SANTA GABRIELA;SANTA GABRIELA;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66484000;PCH SANTA GABRIELA BARRAMENTO;2;0.0;;-17,538;-54,433;66225540;RIO CORRENTES;6;RIO PARANÁ;MS;28053200;SONORA;SANTA GABRIELA;SANTA GABRIELA;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66484500;PCH SANTA GABRIELA JUSANTE;2;0.0;;-17,533;-54,445;66225540;RIO CORRENTES;6;RIO PARANÁ;MS;28053200;SONORA;SANTA GABRIELA;SANTA GABRIELA;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66487000;SONORA;2;0.0;;-17,521;-54,739;66225540;RIO CORRENTES;6;RIO PARANÁ;MS;28053200;SONORA;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66491000;TUBULAÇÃO CÓRREGO CABECEIRA - BR-471;2;0.0;;-17,64;-54,819;66225540;RIO CORRENTES;6;RIO PARANÁ;MS;28053200;SONORA;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66493900;CGH AQUARIUS MONTANTE;2;0.0;;-17,618;-54,887;66225540;RIO CORRENTES;6;RIO PARANÁ;MS;28053200;SONORA;AQUARIUS;AQUARIUS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66494000;CGH AQUÁRIUS BARRAMENTO;2;0.0;;-17,618;-54,888;66225540;RIO CORRENTES;6;RIO PARANÁ;MS;28053200;SONORA;AQUARIUS;AQUARIUS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66494500;PCH AQUÁRIUS JUSANTE;2;0.0;;-17,622;-54,892;66225540;RIO CORRENTES;6;RIO PARANÁ;MS;28053200;SONORA;AQUARIUS;AQUARIUS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66510000;SONORA;2;0.0;;-17,651;-55,136;66225540;RIO CORRENTES;6;RIO PARANÁ;MS;28053200;SONORA;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66527000;MONTANTE FOZ RIO PIQUIRI;2;0.0;;-17,371;-55,608;66225000;RIO ITIQUIRA;6;RIO PARANÁ;MS;28037000;LADÁRIO;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66527500;CORUMBÁ;2;0.0;;-17,365;-55,609;66225000;RIO ITIQUIRA;6;RIO PARANÁ;MS;28022000;CORUMBÁ;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66527800;CORUMBÁ;2;0.0;;-17,318;-56,713;66225500;RIO PIQUIRI;6;RIO PARANÁ;MS;28022000;CORUMBÁ;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66651000;FOZ RIO PIQUIRI;2;0.0;;-17,622;-54,125;66225500;RIO PIQUIRI;6;RIO PARANÁ;MS;28045000;PEDRO GOMES;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66651100;BARÃO DE MELGAÇO;2;0.0;;-17,292;-56,387;66225500;RIO PIQUIRI;6;RIO PARANÁ;MS;25026000;BARÃO DE MELGAÇO;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66660000;MONTANTE FOZ RIO ITIQUIRA;2;0.0;;-17,298;-56,72;66223000;RIO CUIABÁ;6;RIO PARANÁ;MS;28037000;LADÁRIO;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66665000;CORUMBÁ;2;0.0;;-17,309;-56,726;66223000;RIO CUIABÁ;6;RIO PARANÁ;MS;28022000;CORUMBÁ;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66750000;PORTO DO ALEGRE;2;0.0;;-17,623;-56,965;66223000;RIO CUIABÁ;6;RIO PARANÁ;MS;28022000;CORUMBÁ;ANA;SGB-CPRM;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66750001;CORUMBÁ;2;0.0;;-17,623;-56,966;66220000;RIO SÃO LOURENÇO;6;RIO PARANÁ;MS;28022000;CORUMBÁ;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66751000;CORUMBÁ;2;0.0;;-17,886;-57,472;66001000;RIO PARAGUAI;6;RIO PARANÁ;MS;28022000;CORUMBÁ;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66800000;AMOLAR;2;0.0;;-18,039;-57,489;66001000;RIO PARAGUAI;6;RIO PARANÁ;MS;28022000;CORUMBÁ;ANA;SGB-CPRM;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66801000;CORUMBÁ;2;0.0;;-18,038;-57,487;66001000;RIO PARAGUAI;6;RIO PARANÁ;MS;28022000;CORUMBÁ;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66805000;PERTO DE AMOLAR;2;0.0;;-18,053;-57,496;66226000;LAGOA MANDIORÉ;6;RIO PARANÁ;MS;28022000;CORUMBÁ;DNOS;DNOS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66807000;CORUMBÁ;2;0.0;;-18,146;-57,385;66001000;RIO PARAGUAI;6;RIO PARANÁ;MS;28022000;CORUMBÁ;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66809500;CORUMBÁ;2;0.0;;-18,391;-57,378;66001000;RIO PARAGUAI;6;RIO PARANÁ;MS;28022000;CORUMBÁ;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66810000;SÃO FRANCISCO;2;0.0;;-18,394;-57,391;66001000;RIO PARAGUAI;6;RIO PARANÁ;MS;28022000;CORUMBÁ;ANA;SGB-CPRM;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66810200;JATOBAZINHO;2;0.0;;-18,587;-57,531;66001000;RIO PARAGUAI;6;RIO PARANÁ;MS;28022000;CORUMBÁ;DNIT;DNIT;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66810300;CAPIM GORDURA;2;0.0;;-18,807;-57,578;66001000;RIO PARAGUAI;6;RIO PARANÁ;MS;28022000;CORUMBÁ;DNIT;DNIT;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66810500;CORUMBÁ;2;0.0;;-18,994;-57,666;66310400;CANAL DO TAMENGO;6;RIO PARANÁ;MS;28022000;CORUMBÁ;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66810800;CORUMBÁ;2;0.0;;-18,988;-57,659;66001000;RIO PARAGUAI;6;RIO PARANÁ;MS;28022000;CORUMBÁ;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66811000;MONTANTE CAPTAÇÃO D'ÁGUA CORUMBÁ;2;0.0;;-18,993;-57,66;66001000;RIO PARAGUAI;6;RIO PARANÁ;MS;28022000;CORUMBÁ;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66820000;CORUMBÁ;2;0.0;;-18,995;-57,652;66001000;RIO PARAGUAI;6;RIO PARANÁ;MS;28022000;CORUMBÁ;ANA;ANA;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66821000;CORUMBÁ;2;0.0;;-19,003;-57,578;66001000;RIO PARAGUAI;6;RIO PARANÁ;MS;28022000;CORUMBÁ;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66824000;MONTANTE CAPTAÇÃO D'ÁGUAS;2;0.0;;-19;-57,605;66001000;RIO PARAGUAI;6;RIO PARANÁ;MS;28037000;LADÁRIO;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66825000;LADÁRIO (BASE NAVAL);2;0.0;;-19,002;-57,594;66001000;RIO PARAGUAI;6;RIO PARANÁ;MS;28037000;LADÁRIO;ANA;SGB-CPRM;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66835000;MATADEIRO;2;0.0;;-18,067;-54,533;66323150;RIO COXINZINHO;6;RIO PARANÁ;MS;28045000;PEDRO GOMES;PRIMAVERA;PRIMAVERA;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66840000;PERTO DE PEDRO GOMES;2;0.0;;-18,161;-54,469;66320000;RIO TAQUARI;6;RIO PARANÁ;MS;28045000;PEDRO GOMES;ANA;ANA;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66845000;PEDRO GOMES;2;0.0;;-18,167;-54,471;66320000;RIO TAQUARI;6;RIO PARANÁ;MS;28023000;COXIM;ANA;SGB-CPRM;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66846080;UHE TAQUARI;2;0.0;;-18,179;-54,488;66320000;RIO TAQUARI;6;RIO PARANÁ;MS;28045000;PEDRO GOMES;ELETRONORTE;ELETRONORTE;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66848000;COXIM;2;0.0;;-18,365;-54,608;66320000;RIO TAQUARI;6;RIO PARANÁ;MS;28023000;COXIM;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66848800;NASCENTE RIO COXIM;2;0.0;;-19,257;-54,727;66323000;RIO COXIM;6;RIO PARANÁ;MS;28052400;SÃO GABRIEL DO OESTE;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66848900;COXIM;2;0.0;;-18,533;-54,748;66323000;RIO COXIM;6;RIO PARANÁ;MS;28023000;COXIM;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66849000;CONFLUÊNCIA  RIO JAURU;2;0.0;;-18,73;-54,579;66323000;RIO COXIM;6;RIO PARANÁ;MS;28051000;RIO VERDE DE MATO GROSSO;ANA;SGB-CPRM;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66850000;CONTRAVERTENTE;2;0.0;;-18,724;-54,53;66323200;RIO JAURU;6;RIO PARANÁ;MS;28016000;CAMAPUÃ;ANA;SGB-CPRM;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66851000;SÃO GABRIEL DO OESTE;2;0.0;;-19,343;-54,186;66323000;RIO COXIM;6;RIO PARANÁ;MS;28052400;SÃO GABRIEL DO OESTE;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66852000;SÃO GABRIEL DO OESTE;2;0.0;;-19,408;-54,529;66323000;RIO COXIM;6;RIO PARANÁ;MS;28052400;SÃO GABRIEL DO OESTE;IMASUL-MS;IMASUL-MS;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66855000;GARIMPAGEM;2;0.0;;-18,714;-54,567;66323200;RIO JAURU;6;RIO PARANÁ;MS;28023000;COXIM;ANA;SGB-CPRM;True;2024-10-03 22:52:20;2024-10-03 22:52:20
66859000;PCH PONTE ALTA BARRAMENTO;2;0.0;;-19,41;-54,493;66323000;RIO COXIM;6;RIO PARANÁ;MS;28052400;SÃO GABRIEL DO OESTE;PONTE ALTA;PONTE ALTA;True;2024-10-03 22:52:20;2024-10-03 22:52:20
